id,actual_miles,estimated_miles,error,map_url
93,450,445,-5,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C39.18556,-78.16361&markers=color%3Ared%7C41.84639,-71.88806&markers=color%3Agreen%7Clabel%3A2%7C39.18556,-78.16361&markers=color%3Ared%7Clabel%3A2%7C41.84639,-71.88806&markers=color%3Agreen%7Clabel%3A3%7C39.18556,-78.16361&markers=color%3Ared%7Clabel%3A3%7C41.66472,-72.63972&markers=color%3Agreen%7Clabel%3A4%7C39.18556,-78.16361&markers=color%3Ared%7Clabel%3A4%7C42.525,-71.76028&markers=color%3Agreen%7Clabel%3A5%7C39.00611,-77.42889&markers=color%3Ared%7Clabel%3A5%7C42.56111,-71.59028"
102,646,632,-14,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C37.26778,-76.01778&markers=color%3Ared%7C41.27361,-82.84167&markers=color%3Agreen%7Clabel%3A2%7C37.26778,-76.01778&markers=color%3Ared%7Clabel%3A2%7C41.27361,-82.84167&markers=color%3Agreen%7Clabel%3A3%7C37.26778,-76.01778&markers=color%3Ared%7Clabel%3A3%7C41.27361,-82.84167&markers=color%3Agreen%7Clabel%3A4%7C37.26778,-76.01778&markers=color%3Ared%7Clabel%3A4%7C41.27361,-82.84167&markers=color%3Agreen%7Clabel%3A5%7C36.84667,-76.28556&markers=color%3Ared%7Clabel%3A5%7C41.49944,-81.69556"
105,211,202,-9,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C38.02306,-77.37361&markers=color%3Ared%7C40.10167,-76.08556&markers=color%3Agreen%7Clabel%3A2%7C38.02306,-77.37361&markers=color%3Ared%7Clabel%3A2%7C40.10167,-76.08556&markers=color%3Agreen%7Clabel%3A3%7C38.02306,-77.37361&markers=color%3Ared%7Clabel%3A3%7C40.09528,-76.41028&markers=color%3Agreen%7Clabel%3A4%7C38.02306,-77.37361&markers=color%3Ared%7Clabel%3A4%7C39.44944,-75.71667&markers=color%3Agreen%7Clabel%3A5%7C38.02306,-77.37361&markers=color%3Ared%7Clabel%3A5%7C39.44944,-75.71667"
106,419,419,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C38.02917,-78.94528&markers=color%3Ared%7C33.53083,-80.57222&markers=color%3Agreen%7Clabel%3A2%7C38.02917,-78.94528&markers=color%3Ared%7Clabel%3A2%7C33.53083,-80.57222&markers=color%3Agreen%7Clabel%3A3%7C38.02917,-78.94528&markers=color%3Ared%7Clabel%3A3%7C33.53083,-80.57222"
122,328,330,2,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C39.29028,-76.6125&markers=color%3Ared%7C41.92917,-72.62778&markers=color%3Agreen%7Clabel%3A2%7C39.29028,-76.6125&markers=color%3Ared%7Clabel%3A2%7C41.92917,-72.62778&markers=color%3Agreen%7Clabel%3A3%7C39.29028,-76.6125&markers=color%3Ared%7Clabel%3A3%7C41.98167,-72.65111&markers=color%3Agreen%7Clabel%3A4%7C39.29028,-76.6125&markers=color%3Ared%7Clabel%3A4%7C42.10139,-72.59028&markers=color%3Agreen%7Clabel%3A5%7C38.80472,-77.04722&markers=color%3Ared%7Clabel%3A5%7C41.92917,-72.62778"
151,280,287,7,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.20139,-77.18917&markers=color%3Ared%7C41.49889,-72.90111&markers=color%3Agreen%7Clabel%3A2%7C40.20139,-77.18917&markers=color%3Ared%7Clabel%3A2%7C41.49889,-72.90111&markers=color%3Agreen%7Clabel%3A3%7C40.27361,-76.88472&markers=color%3Ared%7Clabel%3A3%7C41.383,-72.85&markers=color%3Agreen%7Clabel%3A4%7C39.9625,-76.72806&markers=color%3Ared%7Clabel%3A4%7C41.48167,-72.68167&markers=color%3Agreen%7Clabel%3A5%7C40.53944,-76.96111&markers=color%3Ared%7Clabel%3A5%7C41.82639,-72.73056"
152,364,372,8,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C38.02306,-77.37361&markers=color%3Ared%7C41.59,-73.89&markers=color%3Agreen%7Clabel%3A2%7C38.02306,-77.37361&markers=color%3Ared%7Clabel%3A2%7C41.59,-73.89&markers=color%3Agreen%7Clabel%3A3%7C38.02306,-77.37361&markers=color%3Ared%7Clabel%3A3%7C41.59,-73.89&markers=color%3Agreen%7Clabel%3A4%7C38.02306,-77.37361&markers=color%3Ared%7Clabel%3A4%7C41.25639,-74.36028&markers=color%3Agreen%7Clabel%3A5%7C38.02306,-77.37361&markers=color%3Ared%7Clabel%3A5%7C41.25639,-74.36028"
168,266,267,1,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C39.95222,-75.16417&markers=color%3Ared%7C37.35667,-77.44194&markers=color%3Agreen%7Clabel%3A2%7C39.95222,-75.16417&markers=color%3Ared%7Clabel%3A2%7C37.35667,-77.44194&markers=color%3Agreen%7Clabel%3A3%7C39.95222,-75.16417&markers=color%3Ared%7Clabel%3A3%7C37.35667,-77.44194&markers=color%3Agreen%7Clabel%3A4%7C39.92583,-75.12&markers=color%3Ared%7Clabel%3A4%7C37.35667,-77.44194&markers=color%3Agreen%7Clabel%3A5%7C39.89,-75.47583&markers=color%3Ared%7Clabel%3A5%7C37.60861,-77.37361"
178,268,267,-1,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C39.92583,-75.12&markers=color%3Ared%7C37.35667,-77.44194&markers=color%3Agreen%7Clabel%3A2%7C39.92583,-75.12&markers=color%3Ared%7Clabel%3A2%7C37.35667,-77.44194&markers=color%3Agreen%7Clabel%3A3%7C39.95222,-75.16417&markers=color%3Ared%7Clabel%3A3%7C37.35667,-77.44194&markers=color%3Agreen%7Clabel%3A4%7C39.95222,-75.16417&markers=color%3Ared%7Clabel%3A4%7C37.35667,-77.44194&markers=color%3Agreen%7Clabel%3A5%7C39.89,-75.47583&markers=color%3Ared%7Clabel%3A5%7C37.60861,-77.37361"
181,128,128,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C42.50833,-78.6675&markers=color%3Ared%7C43.63,-79.92&markers=color%3Agreen%7Clabel%3A2%7C42.50833,-78.6675&markers=color%3Ared%7Clabel%3A2%7C43.63,-79.92"
182,297,273,-24,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C38.69417,-75.7725&markers=color%3Ared%7C41.68306,-74.66111&markers=color%3Agreen%7Clabel%3A2%7C38.69417,-75.7725&markers=color%3Ared%7Clabel%3A2%7C41.68306,-74.66111&markers=color%3Agreen%7Clabel%3A3%7C38.77417,-76.07667&markers=color%3Ared%7Clabel%3A3%7C41.70583,-75.76667&markers=color%3Agreen%7Clabel%3A4%7C38.77417,-76.07667&markers=color%3Ared%7Clabel%3A4%7C41.70583,-75.76667"
185,326,335,9,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C39.92056,-78.95806&markers=color%3Ared%7C40.74972,-73.79806&markers=color%3Agreen%7Clabel%3A2%7C39.92056,-78.95806&markers=color%3Ared%7Clabel%3A2%7C40.74972,-73.79806&markers=color%3Agreen%7Clabel%3A3%7C40.51861,-78.395&markers=color%3Ared%7Clabel%3A3%7C40.72306,-73.91306&markers=color%3Agreen%7Clabel%3A4%7C40.32111,-79.37972&markers=color%3Ared%7Clabel%3A4%7C40.82556,-73.20306&markers=color%3Agreen%7Clabel%3A5%7C39.44083,-78.97417&markers=color%3Ared%7Clabel%3A5%7C40.35,-74.44"
211,561,561,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.01778,-79.58972&markers=color%3Ared%7C42.45222,-71.1375&markers=color%3Agreen%7Clabel%3A2%7C40.01778,-79.58972&markers=color%3Ared%7Clabel%3A2%7C42.45222,-71.1375&markers=color%3Agreen%7Clabel%3A3%7C40.01778,-79.58972&markers=color%3Ared%7Clabel%3A3%7C42.45222,-71.1375"
213,344,350,6,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.01778,-79.58972&markers=color%3Ared%7C37.71028,-76.38&markers=color%3Agreen%7Clabel%3A2%7C40.01778,-79.58972&markers=color%3Ared%7Clabel%3A2%7C37.71028,-76.38&markers=color%3Agreen%7Clabel%3A3%7C40.01778,-79.58972&markers=color%3Ared%7Clabel%3A3%7C37.71028,-76.38&markers=color%3Agreen%7Clabel%3A4%7C40.01778,-79.58972&markers=color%3Ared%7Clabel%3A4%7C37.55361,-77.46056&markers=color%3Agreen%7Clabel%3A5%7C40.01778,-79.58972&markers=color%3Ared%7Clabel%3A5%7C37.55361,-77.46056"
214,253,256,3,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C40.21694,-74.74333&markers=color%3Ared%7C43.04806,-76.14778&markers=color%3Agreen%7Clabel%3A2%7C40.21694,-74.74333&markers=color%3Ared%7Clabel%3A2%7C43.04806,-76.14778&markers=color%3Agreen%7Clabel%3A3%7C40.11944,-74.80583&markers=color%3Ared%7Clabel%3A3%7C43.04806,-76.14778&markers=color%3Agreen%7Clabel%3A4%7C40.31611,-74.51417&markers=color%3Ared%7Clabel%3A4%7C43.04806,-76.14778&markers=color%3Agreen%7Clabel%3A5%7C40.51861,-74.4125&markers=color%3Ared%7Clabel%3A5%7C43.04806,-76.14778"
220,378,378,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C42.12917,-80.08528&markers=color%3Ared%7C43.18,-73.74472&markers=color%3Agreen%7Clabel%3A2%7C42.12917,-80.08528&markers=color%3Ared%7Clabel%3A2%7C43.18,-73.74472"
222,570,570,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C38.02306,-77.37361&markers=color%3Ared%7C35.04556,-85.30972&markers=color%3Agreen%7Clabel%3A2%7C38.02306,-77.37361&markers=color%3Ared%7Clabel%3A2%7C35.04556,-85.30972&markers=color%3Agreen%7Clabel%3A3%7C38.02306,-77.37361&markers=color%3Ared%7Clabel%3A3%7C35.04556,-85.30972"
223,445,445,0,"http://maps.google.com/maps/api/staticmap?size=500x500&sensor=false&maptype=road&markers=color%3Agreen%7Clabel%3A1%7C44.47583,-73.2125&markers=color%3Ared%7C40.19972,-76.73139&markers=color%3Agreen%7Clabel%3A2%7C44.47583,-73.2125&markers=color%3Ared%7Clabel%3A2%7C40.19972,-76.73139"
